from;to;week;year;passengers
DE;AR;20;2016;0
DE;AR;21;2016;0
DE;AR;22;2016;0
DE;AR;23;2016;0
DE;AR;24;2016;0
DE;AR;25;2016;0
DE;AR;26;2016;0
DE;AR;27;2016;0
DE;AR;28;2016;0
DE;AR;29;2016;0
DE;AR;30;2016;0
DE;AR;31;2016;0
DE;AR;32;2016;0
DE;AR;33;2016;0
DE;AR;34;2016;0
DE;AR;35;2016;0
DE;AR;36;2016;0
DE;AR;37;2016;0
DE;AR;38;2016;0
DE;AR;39;2016;0
DE;AR;40;2016;0
DE;AR;41;2016;0
DE;AR;42;2016;0
DE;AR;43;2016;0
DE;AR;44;2016;0
DE;AR;45;2016;0
DE;AR;46;2016;0
DE;AR;47;2016;0
DE;AR;48;2016;0
DE;AR;49;2016;0
DE;AR;50;2016;0
DE;AR;51;2016;0
DE;AR;52;2016;0
DE;AS;1;2016;0
DE;AS;2;2016;0
DE;AS;3;2016;0
DE;AS;4;2016;0
DE;AS;5;2016;0
DE;AS;6;2016;0
DE;AS;7;2016;0
DE;AS;8;2016;0
DE;AS;9;2016;0
DE;AS;10;2016;0
DE;AS;11;2016;0
DE;AS;12;2016;0
DE;AS;13;2016;0
DE;AS;14;2016;0
DE;AS;15;2016;0
DE;AS;16;2016;0
DE;AS;17;2016;0
DE;AS;18;2016;0
DE;AS;19;2016;0
DE;AS;20;2016;0
DE;AS;21;2016;0
DE;AS;22;2016;0
DE;AS;23;2016;0
DE;AS;24;2016;0
DE;AS;25;2016;0
DE;AS;26;2016;0
DE;AS;27;2016;0
DE;AS;28;2016;0
DE;AS;29;2016;0
DE;AS;30;2016;0
DE;AS;31;2016;0
DE;AS;32;2016;0
DE;AS;33;2016;0
DE;AS;34;2016;0
DE;AS;35;2016;0
DE;AS;36;2016;0
DE;AS;37;2016;0
DE;AS;38;2016;0
DE;AS;39;2016;0
DE;AS;40;2016;0
DE;AS;41;2016;0
DE;AS;42;2016;0
DE;AS;43;2016;0
DE;AS;44;2016;0
DE;AS;45;2016;0
DE;AS;46;2016;0
DE;AS;47;2016;0
DE;AS;48;2016;0
DE;AS;49;2016;0
DE;AS;50;2016;0
DE;AS;51;2016;0
DE;AS;52;2016;0
DE;AT;1;2016;630
DE;AT;2;2016;630
DE;AT;3;2016;630
DE;AT;4;2016;630
DE;AT;5;2016;630
DE;AT;6;2016;630
DE;AT;7;2016;630
DE;AT;8;2016;630
DE;AT;9;2016;630
DE;AT;10;2016;630
DE;AT;11;2016;630
DE;AT;12;2016;630
DE;AT;13;2016;630
DE;AT;14;2016;630
DE;AT;15;2016;630
DE;AT;16;2016;630
DE;AT;17;2016;630
DE;AT;18;2016;630
DE;AT;19;2016;630
DE;AT;20;2016;630
DE;AT;21;2016;630
DE;AT;22;2016;630
DE;AT;23;2016;630
DE;AT;24;2016;630
DE;AT;25;2016;630
DE;AT;26;2016;630
DE;AT;27;2016;630
DE;AT;28;2016;630
DE;AT;29;2016;630
DE;AT;30;2016;630
DE;AT;31;2016;630
DE;AT;32;2016;630
DE;AT;33;2016;630
DE;AT;34;2016;630
DE;AT;35;2016;630
DE;AT;36;2016;630
DE;AT;37;2016;630
DE;AT;38;2016;630
DE;AT;39;2016;630
DE;AT;40;2016;630
DE;AT;41;2016;630
DE;AT;42;2016;630
DE;AT;43;2016;630
DE;AT;44;2016;630
DE;AT;45;2016;630
DE;AT;46;2016;630
DE;AT;47;2016;630
DE;AT;48;2016;630
DE;AT;49;2016;630
DE;AT;50;2016;630
DE;AT;51;2016;630
DE;AT;52;2016;630
DE;AU;1;2016;525
DE;AU;2;2016;525
DE;AU;3;2016;525
DE;AU;4;2016;525
DE;AU;5;2016;525
DE;AU;6;2016;525
DE;AU;7;2016;525
DE;AU;8;2016;525
DE;AU;9;2016;525
DE;AU;10;2016;525
DE;AU;11;2016;525
DE;AU;12;2016;525
DE;AU;13;2016;525
DE;AU;14;2016;525
DE;AU;15;2016;525
DE;AU;16;2016;525
DE;AU;17;2016;525
DE;AU;18;2016;525
DE;AU;19;2016;525
DE;AU;20;2016;525
DE;AU;21;2016;525
DE;AU;22;2016;525
DE;AU;23;2016;525
DE;AU;24;2016;525
DE;AU;25;2016;525
DE;AU;26;2016;525
DE;AU;27;2016;525
DE;AU;28;2016;525
DE;AU;29;2016;525
DE;AU;30;2016;525
DE;AU;31;2016;525
DE;AU;32;2016;525
DE;AU;33;2016;525
DE;AU;34;2016;525
DE;AU;35;2016;525
DE;AU;36;2016;525
DE;AU;37;2016;525
DE;AU;38;2016;525
DE;AU;39;2016;525
DE;AU;40;2016;525
DE;AU;41;2016;525
DE;AU;42;2016;525
DE;AU;43;2016;525
DE;AU;44;2016;525
DE;AU;45;2016;525
DE;AU;46;2016;525
DE;AU;47;2016;525
DE;AU;48;2016;525
DE;AU;49;2016;525
DE;AU;50;2016;525
DE;AU;51;2016;525
DE;AU;52;2016;525
DE;AW;1;2016;0
DE;AW;2;2016;0
DE;AW;3;2016;0
DE;AW;4;2016;0
DE;AW;5;2016;0
DE;AW;6;2016;0
DE;AW;7;2016;0
DE;AW;8;2016;0
DE;AW;9;2016;0
DE;AW;10;2016;0
DE;AW;11;2016;0
DE;AW;12;2016;0
DE;AW;13;2016;0
DE;AW;14;2016;0
DE;AW;15;2016;0
DE;AW;16;2016;0
DE;AW;17;2016;0
DE;AW;18;2016;0
DE;AW;19;2016;0
DE;AW;20;2016;0
DE;AW;21;2016;0
DE;AW;22;2016;0
DE;AW;23;2016;0
DE;AW;24;2016;0
DE;AW;25;2016;0
DE;AW;26;2016;0
DE;AW;27;2016;0
DE;AW;28;2016;0
DE;AW;29;2016;0
DE;AW;30;2016;0
DE;AW;31;2016;0
DE;AW;32;2016;0
DE;AW;33;2016;0
DE;AW;34;2016;0
DE;AW;35;2016;0
DE;AW;36;2016;0
DE;AW;37;2016;0
DE;AW;38;2016;0
DE;AW;39;2016;0
DE;AW;40;2016;0
DE;AW;41;2016;0
DE;AW;42;2016;0
DE;AW;43;2016;0
DE;AW;44;2016;0
DE;AW;45;2016;0
DE;AW;46;2016;0
DE;AW;47;2016;0
DE;AW;48;2016;0
DE;AW;49;2016;0
DE;AW;50;2016;0
DE;AW;51;2016;0
DE;AW;52;2016;0
DE;AZ;1;2016;210
DE;AZ;2;2016;210
DE;AZ;3;2016;210
DE;AZ;4;2016;210
DE;AZ;5;2016;210
DE;AZ;6;2016;210
DE;AZ;7;2016;210
DE;AZ;8;2016;210
DE;AZ;9;2016;210
DE;AZ;10;2016;210
DE;AZ;11;2016;210
DE;AZ;12;2016;210
DE;AZ;13;2016;210
DE;AZ;14;2016;210
DE;AZ;15;2016;210
DE;AZ;16;2016;210
DE;AZ;17;2016;210
DE;AZ;18;2016;210
DE;AZ;19;2016;210
DE;AZ;20;2016;210
DE;AZ;21;2016;210
DE;AZ;22;2016;210
DE;AZ;23;2016;210
DE;AZ;24;2016;210
DE;AZ;25;2016;210
DE;AZ;26;2016;210
DE;AZ;27;2016;210
DE;AZ;28;2016;210
DE;AZ;29;2016;210
DE;AZ;30;2016;210
DE;AZ;31;2016;210
DE;AZ;32;2016;210
DE;AZ;33;2016;210
DE;AZ;34;2016;210
DE;AZ;35;2016;210
DE;AZ;36;2016;210
DE;AZ;37;2016;210
DE;AZ;38;2016;210
DE;AZ;39;2016;210
DE;AZ;40;2016;210
DE;AZ;41;2016;210
DE;AZ;42;2016;210
DE;AZ;43;2016;210
DE;AZ;44;2016;210
DE;AZ;45;2016;210
DE;AZ;46;2016;210
DE;AZ;47;2016;210
DE;AZ;48;2016;210
DE;AZ;49;2016;210
DE;AZ;50;2016;210
DE;AZ;51;2016;210
DE;AZ;52;2016;210
DE;BA;1;2016;210
DE;BA;2;2016;210
DE;BA;3;2016;210
DE;BA;4;2016;210
