from;to;week;year;passengers
WS;AS;22;2016;0
WS;AS;23;2016;0
WS;AS;24;2016;0
WS;AS;25;2016;0
WS;AS;26;2016;0
WS;AS;27;2016;0
WS;AS;28;2016;0
WS;AS;29;2016;0
WS;AS;30;2016;0
WS;AS;31;2016;0
WS;AS;32;2016;0
WS;AS;33;2016;0
WS;AS;34;2016;0
WS;AS;35;2016;0
WS;AS;36;2016;0
WS;AS;37;2016;0
WS;AS;38;2016;0
WS;AS;39;2016;0
WS;AS;40;2016;0
WS;AS;41;2016;0
WS;AS;42;2016;0
WS;AS;43;2016;0
WS;AS;44;2016;0
WS;AS;45;2016;0
WS;AS;46;2016;0
WS;AS;47;2016;0
WS;AS;48;2016;0
WS;AS;49;2016;0
WS;AS;50;2016;0
WS;AS;51;2016;0
WS;AS;52;2016;0
WS;AT;1;2016;0
WS;AT;2;2016;0
WS;AT;3;2016;0
WS;AT;4;2016;0
WS;AT;5;2016;0
WS;AT;6;2016;0
WS;AT;7;2016;0
WS;AT;8;2016;0
WS;AT;9;2016;0
WS;AT;10;2016;0
WS;AT;11;2016;0
WS;AT;12;2016;0
WS;AT;13;2016;0
WS;AT;14;2016;0
WS;AT;15;2016;0
WS;AT;16;2016;0
WS;AT;17;2016;0
WS;AT;18;2016;0
WS;AT;19;2016;0
WS;AT;20;2016;0
WS;AT;21;2016;0
WS;AT;22;2016;0
WS;AT;23;2016;0
WS;AT;24;2016;0
WS;AT;25;2016;0
WS;AT;26;2016;0
WS;AT;27;2016;0
WS;AT;28;2016;0
WS;AT;29;2016;0
WS;AT;30;2016;0
WS;AT;31;2016;0
WS;AT;32;2016;0
WS;AT;33;2016;0
WS;AT;34;2016;0
WS;AT;35;2016;0
WS;AT;36;2016;0
WS;AT;37;2016;0
WS;AT;38;2016;0
WS;AT;39;2016;0
WS;AT;40;2016;0
WS;AT;41;2016;0
WS;AT;42;2016;0
WS;AT;43;2016;0
WS;AT;44;2016;0
WS;AT;45;2016;0
WS;AT;46;2016;0
WS;AT;47;2016;0
WS;AT;48;2016;0
WS;AT;49;2016;0
WS;AT;50;2016;0
WS;AT;51;2016;0
WS;AT;52;2016;0
WS;AU;1;2016;0
WS;AU;2;2016;0
WS;AU;3;2016;0
WS;AU;4;2016;0
WS;AU;5;2016;0
WS;AU;6;2016;0
WS;AU;7;2016;0
WS;AU;8;2016;0
WS;AU;9;2016;0
WS;AU;10;2016;0
WS;AU;11;2016;0
WS;AU;12;2016;0
WS;AU;13;2016;0
WS;AU;14;2016;0
WS;AU;15;2016;0
WS;AU;16;2016;0
WS;AU;17;2016;0
WS;AU;18;2016;0
WS;AU;19;2016;0
WS;AU;20;2016;0
WS;AU;21;2016;0
WS;AU;22;2016;0
WS;AU;23;2016;0
WS;AU;24;2016;0
WS;AU;25;2016;0
WS;AU;26;2016;0
WS;AU;27;2016;0
WS;AU;28;2016;0
WS;AU;29;2016;0
WS;AU;30;2016;0
WS;AU;31;2016;0
WS;AU;32;2016;0
WS;AU;33;2016;0
WS;AU;34;2016;0
WS;AU;35;2016;0
WS;AU;36;2016;0
WS;AU;37;2016;0
WS;AU;38;2016;0
WS;AU;39;2016;0
WS;AU;40;2016;0
WS;AU;41;2016;0
WS;AU;42;2016;0
WS;AU;43;2016;0
WS;AU;44;2016;0
WS;AU;45;2016;0
WS;AU;46;2016;0
WS;AU;47;2016;0
WS;AU;48;2016;0
WS;AU;49;2016;0
WS;AU;50;2016;0
WS;AU;51;2016;0
WS;AU;52;2016;0
WS;AW;1;2016;0
WS;AW;2;2016;0
WS;AW;3;2016;0
WS;AW;4;2016;0
WS;AW;5;2016;0
WS;AW;6;2016;0
WS;AW;7;2016;0
WS;AW;8;2016;0
WS;AW;9;2016;0
WS;AW;10;2016;0
WS;AW;11;2016;0
WS;AW;12;2016;0
WS;AW;13;2016;0
WS;AW;14;2016;0
WS;AW;15;2016;0
WS;AW;16;2016;0
WS;AW;17;2016;0
WS;AW;18;2016;0
WS;AW;19;2016;0
WS;AW;20;2016;0
WS;AW;21;2016;0
WS;AW;22;2016;0
WS;AW;23;2016;0
WS;AW;24;2016;0
WS;AW;25;2016;0
WS;AW;26;2016;0
WS;AW;27;2016;0
WS;AW;28;2016;0
WS;AW;29;2016;0
WS;AW;30;2016;0
WS;AW;31;2016;0
WS;AW;32;2016;0
WS;AW;33;2016;0
WS;AW;34;2016;0
WS;AW;35;2016;0
WS;AW;36;2016;0
WS;AW;37;2016;0
WS;AW;38;2016;0
WS;AW;39;2016;0
WS;AW;40;2016;0
WS;AW;41;2016;0
WS;AW;42;2016;0
WS;AW;43;2016;0
WS;AW;44;2016;0
WS;AW;45;2016;0
WS;AW;46;2016;0
WS;AW;47;2016;0
WS;AW;48;2016;0
WS;AW;49;2016;0
WS;AW;50;2016;0
WS;AW;51;2016;0
WS;AW;52;2016;0
WS;AZ;1;2016;0
WS;AZ;2;2016;0
WS;AZ;3;2016;0
WS;AZ;4;2016;0
WS;AZ;5;2016;0
WS;AZ;6;2016;0
WS;AZ;7;2016;0
WS;AZ;8;2016;0
WS;AZ;9;2016;0
WS;AZ;10;2016;0
WS;AZ;11;2016;0
WS;AZ;12;2016;0
WS;AZ;13;2016;0
WS;AZ;14;2016;0
WS;AZ;15;2016;0
WS;AZ;16;2016;0
WS;AZ;17;2016;0
WS;AZ;18;2016;0
WS;AZ;19;2016;0
WS;AZ;20;2016;0
WS;AZ;21;2016;0
WS;AZ;22;2016;0
WS;AZ;23;2016;0
WS;AZ;24;2016;0
WS;AZ;25;2016;0
WS;AZ;26;2016;0
WS;AZ;27;2016;0
WS;AZ;28;2016;0
WS;AZ;29;2016;0
WS;AZ;30;2016;0
WS;AZ;31;2016;0
WS;AZ;32;2016;0
WS;AZ;33;2016;0
WS;AZ;34;2016;0
WS;AZ;35;2016;0
WS;AZ;36;2016;0
WS;AZ;37;2016;0
WS;AZ;38;2016;0
WS;AZ;39;2016;0
WS;AZ;40;2016;0
WS;AZ;41;2016;0
WS;AZ;42;2016;0
WS;AZ;43;2016;0
WS;AZ;44;2016;0
WS;AZ;45;2016;0
WS;AZ;46;2016;0
WS;AZ;47;2016;0
WS;AZ;48;2016;0
WS;AZ;49;2016;0
WS;AZ;50;2016;0
WS;AZ;51;2016;0
WS;AZ;52;2016;0
WS;BA;1;2016;0
WS;BA;2;2016;0
WS;BA;3;2016;0
WS;BA;4;2016;0
WS;BA;5;2016;0
WS;BA;6;2016;0
WS;BA;7;2016;0
WS;BA;8;2016;0
WS;BA;9;2016;0
WS;BA;10;2016;0
WS;BA;11;2016;0
WS;BA;12;2016;0
WS;BA;13;2016;0
WS;BA;14;2016;0
WS;BA;15;2016;0
WS;BA;16;2016;0
WS;BA;17;2016;0
WS;BA;18;2016;0
WS;BA;19;2016;0
WS;BA;20;2016;0
WS;BA;21;2016;0
WS;BA;22;2016;0
WS;BA;23;2016;0
WS;BA;24;2016;0
WS;BA;25;2016;0
WS;BA;26;2016;0
WS;BA;27;2016;0
WS;BA;28;2016;0
WS;BA;29;2016;0
WS;BA;30;2016;0
WS;BA;31;2016;0
WS;BA;32;2016;0
WS;BA;33;2016;0
WS;BA;34;2016;0
WS;BA;35;2016;0
WS;BA;36;2016;0
WS;BA;37;2016;0
WS;BA;38;2016;0
WS;BA;39;2016;0
WS;BA;40;2016;0
WS;BA;41;2016;0
WS;BA;42;2016;0
WS;BA;43;2016;0
WS;BA;44;2016;0
WS;BA;45;2016;0
WS;BA;46;2016;0
WS;BA;47;2016;0
WS;BA;48;2016;0
WS;BA;49;2016;0
WS;BA;50;2016;0
WS;BA;51;2016;0
WS;BA;52;2016;0
WS;BB;1;2016;0
WS;BB;2;2016;0
WS;BB;3;2016;0
WS;BB;4;2016;0
WS;BB;5;2016;0
WS;BB;6;2016;0
WS;BB;7;2016;0
WS;BB;8;2016;0
WS;BB;9;2016;0
WS;BB;10;2016;0
WS;BB;11;2016;0
WS;BB;12;2016;0
WS;BB;13;2016;0
WS;BB;14;2016;0
WS;BB;15;2016;0
WS;BB;16;2016;0
WS;BB;17;2016;0
WS;BB;18;2016;0
WS;BB;19;2016;0
WS;BB;20;2016;0
WS;BB;21;2016;0
WS;BB;22;2016;0
WS;BB;23;2016;0
WS;BB;24;2016;0
WS;BB;25;2016;0
WS;BB;26;2016;0
WS;BB;27;2016;0
WS;BB;28;2016;0
WS;BB;29;2016;0
WS;BB;30;2016;0
WS;BB;31;2016;0
WS;BB;32;2016;0
WS;BB;33;2016;0
WS;BB;34;2016;0
WS;BB;35;2016;0
WS;BB;36;2016;0
WS;BB;37;2016;0
WS;BB;38;2016;0
WS;BB;39;2016;0
WS;BB;40;2016;0
WS;BB;41;2016;0
WS;BB;42;2016;0
WS;BB;43;2016;0
WS;BB;44;2016;0
WS;BB;45;2016;0
WS;BB;46;2016;0
WS;BB;47;2016;0
WS;BB;48;2016;0
WS;BB;49;2016;0
WS;BB;50;2016;0
WS;BB;51;2016;0
WS;BB;52;2016;0
WS;BD;1;2016;0
WS;BD;2;2016;0
WS;BD;3;2016;0
WS;BD;4;2016;0
WS;BD;5;2016;0
WS;BD;6;2016;0
WS;BD;7;2016;0
WS;BD;8;2016;0
WS;BD;9;2016;0
WS;BD;10;2016;0
WS;BD;11;2016;0
WS;BD;12;2016;0
WS;BD;13;2016;0
WS;BD;14;2016;0
WS;BD;15;2016;0
WS;BD;16;2016;0
WS;BD;17;2016;0
WS;BD;18;2016;0
WS;BD;19;2016;0
WS;BD;20;2016;0
WS;BD;21;2016;0
WS;BD;22;2016;0
WS;BD;23;2016;0
WS;BD;24;2016;0
WS;BD;25;2016;0
WS;BD;26;2016;0
WS;BD;27;2016;0
WS;BD;28;2016;0
WS;BD;29;2016;0
WS;BD;30;2016;0
WS;BD;31;2016;0
WS;BD;32;2016;0
WS;BD;33;2016;0
WS;BD;34;2016;0
WS;BD;35;2016;0
WS;BD;36;2016;0
WS;BD;37;2016;0
WS;BD;38;2016;0
WS;BD;39;2016;0
WS;BD;40;2016;0
WS;BD;41;2016;0
WS;BD;42;2016;0
WS;BD;43;2016;0
WS;BD;44;2016;0
WS;BD;45;2016;0
WS;BD;46;2016;0
WS;BD;47;2016;0
WS;BD;48;2016;0
WS;BD;49;2016;0
WS;BD;50;2016;0
WS;BD;51;2016;0
WS;BD;52;2016;0
WS;BE;1;2016;0
WS;BE;2;2016;0
WS;BE;3;2016;0
WS;BE;4;2016;0
WS;BE;5;2016;0
WS;BE;6;2016;0
WS;BE;7;2016;0
WS;BE;8;2016;0
WS;BE;9;2016;0
WS;BE;10;2016;0
WS;BE;11;2016;0
WS;BE;12;2016;0
WS;BE;13;2016;0
WS;BE;14;2016;0
WS;BE;15;2016;0
WS;BE;16;2016;0
WS;BE;17;2016;0
WS;BE;18;2016;0
WS;BE;19;2016;0
WS;BE;20;2016;0
WS;BE;21;2016;0
WS;BE;22;2016;0
WS;BE;23;2016;0
WS;BE;24;2016;0
WS;BE;25;2016;0
WS;BE;26;2016;0
WS;BE;27;2016;0
WS;BE;28;2016;0
WS;BE;29;2016;0
WS;BE;30;2016;0
WS;BE;31;2016;0
WS;BE;32;2016;0
WS;BE;33;2016;0
WS;BE;34;2016;0
WS;BE;35;2016;0
WS;BE;36;2016;0
WS;BE;37;2016;0
