"country_num" "week" "infected_number" "infected_percentage" "code"
"337" 95 3 139.720419703058 0.00609768573633995 "QAT"
"338" 96 3 2.99400899400207 0.0000154547571550927 "ROU"
"339" 97 3 209.580629579596 0.000146110481766038 "RUS"
"340" 98 3 0.000000547613710402488 0.000000000004623340653179 "RWA"
"341" 99 3 0 0 "SEN"
"342" 100 3 2.99400899400096 0.0000339737798326503 "SRB"
"343" 101 3 26.9460809457714 0.000473028220206762 "SGP"
"344" 102 3 0 0 "SVK"
"345" 103 3 97.8042937948298 0.00472630181644535 "SVN"
"346" 104 3 0 0 "ZAF"
"347" 105 3 82.8342488337843 0.000179821905847241 "ESP"
"348" 106 3 16.7545182494524 0.0000803044969963788 "LKA"
"349" 107 3 0 0 "SUR"
"350" 108 3 279.440839424388 0.00283642953045162 "SWE"
"351" 109 3 82.0871317322057 0.000985151543686508 "CHE"
"352" 110 3 0.998002998000971 0.00000146449399705416 "THA"
"353" 111 3 0 0 "TGO"
"354" 112 3 0 0 "TUN"
"355" 113 3 750.498254482569 0.00094257575806385 "TUR"
"356" 114 3 0.00000104407377162699 0.0000000000195083235542063 "TKM"
"357" 115 3 0.998002998000951 0.00000247503593503539 "UGA"
"358" 116 3 94.8102848096911 0.000212463007177022 "UKR"
"359" 117 3 952.094860087347 0.000293748742212634 "USA"
"360" 118 3 0.92030159234995 0.0000240244904848498 "URY"
"361" 119 3 2.99400899400241 0.00000988107235782076 "UZB"
"362" 120 3 0.998002998000979 0.00000105671179172567 "VNM"
"363" 121 3 0 0 "ZMB"
"364" 1 4 12.9610779090628 0.0000388405731836322 "AFG"
"365" 2 4 0 0 "ALB"
"366" 3 4 0.0000000584340194603172 0.000000000000144898891832364 "DZA"
"367" 4 4 9.95300243683409 0.000022712954979443 "ARG"
"368" 5 4 0 0 "ARM"
"369" 6 4 26.7605938354646 0.000110103607975112 "AUS"
"370" 7 4 43.8682636915882 0.000511903645017099 "AUT"
"371" 8 4 7.97604794391093 0.000571011050308301 "BHR"
"372" 9 4 4.98502996502953 0.00000305997392846037 "BGD"
"373" 10 4 0 0 "BRB"
"374" 11 4 5.98203595802463 0.0000630915225312967 "BLR"
"375" 12 4 7.97604794403114 0.0000701380447012252 "BEL"
"376" 13 4 3.98802397196295 0.000508609707138342 "BTN"
"377" 14 4 0 0 "BIH"
"378" 15 4 14.9467445033838 0.00000713074647930193 "BRA"
"379" 16 4 2.9910179790142 0.0000421400950240638 "BGR"
"380" 17 4 0 0 "BFA"
"381" 18 4 3.98802397202096 0.0000251972151812244 "KHM"
"382" 19 4 2.99101797901687 0.0000125019524162788 "CMR"
"383" 20 4 310.607920261757 0.000857971591041383 "CAN"
"384" 21 4 0 0 "CAF"
"385" 22 4 2.99101797901651 0.0000164959338347521 "CHL"
"386" 23 4 2863.0034664504 0.000207102111070237 "CHN"
"387" 24 4 7.97604794404404 0.0000163932743092218 "COL"
"388" 25 4 43.8682636910717 0.000903156162459081 "CRI"
"389" 26 4 6.97904195100729 0.000165184385779016 "HRV"
"390" 27 4 5.98203595802653 0.0000525067518697543 "CUB"
"391" 28 4 3.98802397201945 0.0000378081346539757 "CZE"
"392" 29 4 29.9101797897069 0.000525592932209408 "DNK"
"393" 30 4 0 0 "DOM"
"394" 31 4 3.98802397202107 0.0000243388126174201 "ECU"
"395" 32 4 223.329342431736 0.000239152704127319 "EGY"
"396" 33 4 0.99700599300551 0.0000162209246230286 "SLV"
"397" 34 4 7.97604794390175 0.000609275347405687 "EST"
"398" 35 4 697.904195089809 0.000685205500809074 "ETH"
"399" 36 4 0 0 "FJI"
"400" 37 4 10.5612288172413 0.000196043224306407 "FIN"
"401" 38 4 58.3864598955592 0.0000904713874451961 "FRA"
"402" 39 4 0 0 "GUF"
"403" 40 4 6.97904195100515 0.000175362462180837 "GEO"
"404" 41 4 10.8975886999973 0.0000135193434705406 "DEU"
"405" 42 4 0 0 "GHA"
"406" 43 4 49.8502996496151 0.000456527192872972 "GRC"
"407" 44 4 1.99401198598657 0.000423764679402178 "GLP"
"408" 45 4 1.99401198601128 0.0000119595588569374 "GTM"
"409" 46 4 9.97005993002345 0.00012174197097019 "HND"
"410" 47 4 0 0 "HUN"
"411" 48 4 3.98802397187975 0.001202015797274 "ISL"
"412" 49 4 2.99068571379362 0.000000225398532619649 "IND"
"413" 50 4 30.8940974606063 0.0000118574527354176 "IDN"
"414" 51 4 15.9520958880756 0.0000424848974396866 "IRQ"
"415" 52 4 103.688623265761 0.00219959221971184 "IRL"
"416" 53 4 168.494012807586 0.0020566954383265 "ISR"
"417" 54 4 13.8640427313045 0.0000231665446371427 "ITA"
"418" 55 4 0.99700599300493 0.000035564653905023 "JAM"
"419" 56 4 206.13512677357 0.000163185767031864 "JPN"
"420" 57 4 38.8832337266467 0.00050186160880052 "JOR"
"421" 58 4 57.6620666802093 0.000323098982415939 "KAZ"
"422" 59 4 0.997005993005934 0.00000211000088696948 "KEN"
"423" 60 4 15.952095887969 0.000264380288472579 "KGZ"
"424" 61 4 16.94910188066 0.000866632811519105 "LVA"
"425" 62 4 4.9850299650175 0.0000832482063336975 "LBN"
"426" 63 4 3.9880239720072 0.000139929192745592 "LTU"
"427" 64 4 3.98802397194094 0.000692073304481085 "LUX"
"428" 65 4 3.98802397202207 0.0000160059899770598 "MDG"
"429" 66 4 3.98802397202243 0.000012968508021216 "MYS"
"430" 67 4 0 0 "MDV"
"431" 68 4 0.997005993005832 0.00000549773953281534 "MLI"
"432" 69 4 23.9281438280382 0.0057024043058609 "MLT"
"433" 70 4 4.98502996484133 0.00125768989233163 "MTQ"
"434" 71 4 0 0 "MRT"
"435" 72 4 11.9640719157348 0.000936552321110486 "MUS"
